date,group,home_team,away_team,home_goals,away_goals,status
2026-06-11,A,Mexico,South Africa,2,0,complete
2026-06-11,A,South Korea,Czechia,2,1,complete
2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,complete
2026-06-12,D,United States,Paraguay,4,1,complete
2026-06-13,B,Qatar,Switzerland,1,1,complete
2026-06-13,C,Brazil,Morocco,1,1,complete
2026-06-13,C,Haiti,Scotland,0,1,complete
2026-06-14,D,Australia,Turkey,2,0,complete
2026-06-14,E,Germany,Curacao,7,1,complete
2026-06-14,F,Netherlands,Japan,2,2,complete
2026-06-14,E,Ivory Coast,Ecuador,1,0,complete
2026-06-14,F,Sweden,Tunisia,5,1,complete
2026-06-15,H,Spain,Cape Verde,0,0,complete
